Religion or spiritual tradition,Religion or spiritual tradition (other),Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity**,Financial need level,Class Year Categories,School,1st Generation College,Federally Reported Race/Ethnicity,Sex,Have you ever sought any services provided by CAPS?,For which of the following reasons have you not sought services provided by CAPS?**,"Agreement with: ""I avoid consultations with CAPS because I am worried what I tell them might lead to negative academic repercussions""",For which of the following purposes would you feel comfortable utilizing CAPS?**,Which of the following CAPS services have you used?**,What was the outcome of your treatment at CAPS?,What was the outcome of your treatment at CAPS? (other),How many times did you visit CAPS?,In what school year(s) have you used or attempted to use CAPS?**,"Agreement with: ""CAPS was beneficial to my mental health""",Why did CAPS not have a beneficial effect on your mental health?**,Have you ever contacted the CAPS crisis support line?,You indicated that you have not contacted the CAPS crisis support line. Why?,You indicated that you have not contacted the CAPS crisis support line. Why? (other),Have you used the virtual support service TimelyCare?,"Agreement with: ""TimelyCare was beneficial for my mental health""","Agreement with: ""CAPS is committed to providing good quality treatment to students, regardless of their identity""","Agreement with: ""CAPS has the resources necessary to treat students of marginalized identities""","Agreement with: ""CAPS does their best to treat students of marginalized identities""",Which of the following sources have influenced your opinion about CAPS?**,"Which of the following resources, excluding CAPS, would you turn to if you were struggling with mental health?**","Which of the following are mental health and intervention offerings by Northwestern that you are aware of, if any?**","Which of the following would you consider to be your main source of community, support, and well-being?","Agreement with: ""I have been able to access meaningful mental health services provided to me by Northwestern""",Have you ever experienced a mental health issue that has impacted your academic performance at NU?,"Have you ever considered taking a medical leave of absence (""MLOA"") at Northwestern for mental health purposes?","Why did you not take a medical leave of absence (""MLOA"")? (if ""considered taking MLOA"" was selected)**",Which of the following identities best describes you?,"Agreement with: ""I feel comfortable expressing my religious or spiritual identity on campus""",In which of the following settings do you not feel comfortable expressing your religious or spiritual identity?**,"Agreement with: ""My professors treat my religion or spirituality with respect""","Agreement with: ""I have a space on campus where I can adequately practice my religion or spirituality""","Agreement with: ""I receive the academic accommodations that I need to account for my religious or spiritual restrictions""",What resources provided by Religious and Spiritual Life (RSL) are you aware of?**,"Agreement with: ""I would use a confidential conversation with a university chaplain for support""",Why would you not use a confidential conversation with a chaplain for support?**,"Agreement with: ""I would be more likely to consult with a university chaplain if they came from a secular background""",Do you identify as a first-generation student?,Do you identify as a low-income student?,"Agreement with: ""I feel supported by Student Enrichment Services (SES)""","Agreement with: ""I feel I have found a community on campus where I belong""","Agreement with: ""I feel like I am treated equally in the classroom, regardless of my socio-economic background""",Do you currently work a job on or off campus?,Hours per week you dedicate to non-paying student organizations,"Agreement with: ""Cost is something I consider when registering for classes""","Agreement with: ""I have financially struggled to purchase required books for classes""","Agreement with: ""I have financially struggled to purchase required technology for classes""",In what years during your time at Northwestern have you struggled financially to purchase required course materials?**
Catholic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",High Need 4+,Second Year,Weinberg College of Arts & Sci,First Generation College,Hispanic,Female,No,I am worried the wait time will be too long,Somewhat agree,"Coping with academic-related stress,Help transitioning to Northwestern",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS)","Student Assistance and Support Service (SASS),Friends","Drop-In Hours at CARE,NU Peer Support Group,Active Minds,ResilientNU,Appointment at CAPS",Student organization,Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Neither agree nor disagree,No answer,Neither agree nor disagree,Somewhat agree,Somewhat agree,"Weekly religious services,Alice Millar Chapel Choir concerts",Strongly disagree,"None of the chaplains reflect my identity,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions",Strongly disagree,Yes,Yes,Strongly agree,Somewhat disagree,Somewhat disagree,No,Between 1-5 hours,Neither agree nor disagree,Strongly agree,Somewhat agree,Second year
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Unknown,Female,No,"I am worried the wait time will be too long,I don't have time",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
No answer,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,Asian/Pacific Islander,Female,Yes,No answer,Somewhat agree,"Coping with academic-related stress,Emergency mental health care",Crisis consultation,The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,Once,2021-2022,Strongly disagree,"The counseling I received did not adequately address my concerns or needs.,The wait was too long for me to follow through and receive help.","Yes, outside of office hours",No answer,No answer,No,No answer,Somewhat agree,Strongly disagree,Somewhat agree,Personal experience with CAPS,"Student organizations,Friends,Family,Peer advisors",No answer,"Friend Group,Family,Dorm/neighborhood,Student organization",Strongly disagree,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Somewhat disagree,"I have other sources of support,I generally avoid religious institutions",Somewhat disagree,No,No,No answer,Somewhat agree,No answer,No,Between 1-5 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer
Protestant (non-denominational),No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Educ & Soc Policy,Not 1st Generation,White,Female,No,I am worried the wait time will be too long,Somewhat disagree,"Help with interpersonal relationships,Help transitioning to Northwestern",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","Student organizations,CARE,Friends,Family,Faculty or academic advisors","Appointment at CAPS,Virtual appointment through TimelyCare","IFC/PHA Greek Life,Friend Group,Family",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat disagree,"In classes or labs,In my student organizations",Somewhat agree,Strongly disagree,Neither agree nor disagree,"Drop-in meditation,Alice Millar Chapel Choir concerts",Neither agree nor disagree,No answer,No answer,No,No,No answer,Somewhat agree,No answer,"Yes, more than one",Between 11-15 hours,Somewhat agree,Strongly agree,Strongly agree,Second year
Protestant (non-denominational),No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",High Need 4+,Second Year,School of Journalism,Not 1st Generation,Asian/Pacific Islander,Female,No,Haven't needed any CAPS services,Neither agree nor disagree,Coping with academic-related stress,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Strongly disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Student publications","CARE,On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Student Enrichment Services (SES),Friends,Family,Resident Assistants",No answer,"Friend Group,Family",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Neither agree nor disagree,Strongly agree,Somewhat disagree,"Drop-in meditation,Alice Millar Chapel Choir concerts,Confidential chaplain consultations",Neither agree nor disagree,No answer,No answer,No,Yes,Do not use SES services/Unable to judge,Somewhat agree,Somewhat agree,"Yes, one",Between 1-5 hours,Strongly disagree,Somewhat disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,Asian/Pacific Islander,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family","Drop-In Hours at CARE,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Student organization",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Drop-in meditation,Alice Millar Chapel Choir concerts,Confidential chaplain consultations",Strongly agree,No answer,No answer,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 11-15 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Protestant (non-denominational),No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No,I am worried the wait time will be too long,Strongly disagree,"Coping with academic-related stress,Emergency mental health care",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Peer advisors and student mentors","Friends,Family,Faculty or academic advisors","Soldari-tea,ResilientNU,Appointment at CAPS","Friend Group,Family,Dorm/neighborhood,Student organization",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Weekly religious services,Drop-in meditation",Strongly disagree,I have other sources of support,Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Hispanic,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family","Drop-In Hours at CARE,NU Peer Support Group,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Dorm/neighborhood",Unable to judge,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,No answer,No answer,No,Yes,Neither agree nor disagree,Strongly agree,Strongly agree,No,No answer,Strongly disagree,Strongly agree,Strongly agree,Second year
Agnostic,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,Friends,Family,Faculty or academic advisors","ResilientNU,Appointment at CAPS","Friend Group,Academic Cohort (people in your major, PA group, Peer-Guided Study group)",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,No answer,No answer,No,No,No answer,Neither agree nor disagree,No answer,"Yes, one",Between 6-10 hours,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,No answer
Jewish,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Journalism,Not 1st Generation,White,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student Assistance and Support Service (SASS),On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends,Family,Peer advisors,Faculty or academic advisors","ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Academic Cohort (people in your major, PA group, Peer-Guided Study group)",Neither agree or disagree,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,Stigma related to MLOAs,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am spiritual,Neither agree nor disagree,No answer,Strongly agree,Strongly agree,Neither agree nor disagree,No answer,Strongly disagree,"I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Strongly agree,No,No,No answer,Somewhat agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Presbyterian,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Unknown,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family,Off-campus therapists","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Neither agree or disagree,Yes,"Yes, although I did not take one.",Anxiety around falling behind academically,I am religious,Somewhat agree,No answer,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Weekly religious services,Strongly disagree,I have other sources of support,Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,No,Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Atheist,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,White,Female,No,Haven't needed any CAPS services,Strongly disagree,"Emergency mental health care,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Strongly agree,Somewhat agree,Somewhat agree,"Friends,Peer advisors and student mentors","CARE,Friends,Family","Drop-In Hours at CARE,Active Minds,ResilientNU,Appointment at CAPS","Friend Group,Family,Dorm/neighborhood",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Alice Millar Chapel Choir concerts",Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Catholic,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Two or More Races,Female,No,"I am worried the wait time will be too long,I have an external provider for mental and psychological health",Neither agree nor disagree,"Coping with academic-related stress,Emergency mental health care",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Friends,Peer advisors and student mentors","Friends,Family",Appointment at CAPS,Friend Group,Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Weekly religious services,Neither agree nor disagree,No answer,No answer,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 11-15 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
